word,pos,inverted_frequency_score
way,NOUN,0.003
days,NOUN,0.003
management,NOUN,0.003
part,NOUN,0.003
could,AUX,0.003
great,ADJ,0.003
united,ADJ,0.003
hotel,NOUN,0.003
real,ADJ,0.003
item,NOUN,0.003
international,ADJ,0.003
center,NOUN,0.003
must,AUX,0.003
store,NOUN,0.003
travel,VERB,0.003
comments,NOUN,0.003
made,VERB,0.003
development,NOUN,0.003
report,VERB,0.003
off,ADV,0.003
member,NOUN,0.003
details,NOUN,0.003
line,NOUN,0.003
terms,NOUN,0.003
before,ADP,0.003
hotels,NOUN,0.003
did,VERB,0.003
send,VERB,0.003
right,INTJ,0.003
type,NOUN,0.003
because,SCONJ,0.003
local,ADJ,0.003
those,PRON,0.003
using,VERB,0.003
results,NOUN,0.004
office,NOUN,0.004
education,NOUN,0.004
national,ADJ,0.004
car,NOUN,0.004
design,NOUN,0.004
take,VERB,0.004
posted,VERB,0.004
internet,NOUN,0.004
address,VERB,0.004
community,NOUN,0.004
within,ADP,0.004
states,VERB,0.004
area,NOUN,0.004
want,VERB,0.004
phone,NOUN,0.004
shipping,VERB,0.004
reserved,VERB,0.004
subject,NOUN,0.004
between,ADP,0.004
forum,NOUN,0.004
family,NOUN,0.004
long,ADV,0.004
based,VERB,0.004
w,ADP,0.004
show,VERB,0.004
even,ADV,0.004
black,ADJ,0.004
check,VERB,0.004
special,ADJ,0.004
prices,NOUN,0.004
website,NOUN,0.004
index,NOUN,0.004
being,AUX,0.004
women,NOUN,0.004
much,ADJ,0.004
sign,VERB,0.004
file,VERB,0.004
link,VERB,0.004
open,VERB,0.004
today,NOUN,0.004
technology,NOUN,0.004
south,NOUN,0.004
case,NOUN,0.004
project,NOUN,0.004
same,ADJ,0.004
pages,NOUN,0.004
version,NOUN,0.004
section,NOUN,0.004
own,VERB,0.004
found,VERB,0.004
sports,NOUN,0.004
related,VERB,0.004
security,NOUN,0.004
both,CCONJ,0.004
g,NOUN,0.004
county,NOUN,0.004
photo,NOUN,0.004
game,NOUN,0.004
members,NOUN,0.004
power,NOUN,0.004
while,SCONJ,0.004
care,VERB,0.004
network,NOUN,0.005
down,ADV,0.005
computer,NOUN,0.005
systems,NOUN,0.005
total,VERB,0.005
place,NOUN,0.005
end,NOUN,0.005
following,VERB,0.005
download,VERB,0.005
h,NOUN,0.005
him,PRON,0.005
without,ADP,0.005
per,ADP,0.005
access,NOUN,0.005
think,VERB,0.005
north,NOUN,0.005
resources,NOUN,0.005
current,ADJ,0.005
posts,NOUN,0.005
big,ADJ,0.005
media,NOUN,0.005
law,NOUN,0.005
control,NOUN,0.005
water,NOUN,0.005
history,NOUN,0.005
pictures,NOUN,0.005
size,NOUN,0.005
art,NOUN,0.005
personal,ADJ,0.005
since,SCONJ,0.005
including,VERB,0.005
guide,VERB,0.005
shop,NOUN,0.005
directory,NOUN,0.005
board,NOUN,0.005
location,NOUN,0.005
change,VERB,0.005
white,ADJ,0.005
text,VERB,0.005
small,ADJ,0.005
rating,NOUN,0.005
rate,NOUN,0.005
government,NOUN,0.005
children,NOUN,0.005
during,ADP,0.005
return,VERB,0.005
students,NOUN,0.005
shopping,VERB,0.005
account,NOUN,0.005
times,NOUN,0.005
sites,NOUN,0.005
level,NOUN,0.005
previous,ADJ,0.005
form,VERB,0.005
events,NOUN,0.005
love,VERB,0.005
old,ADJ,0.005
main,ADJ,0.005
call,VERB,0.005
hours,NOUN,0.005
image,NOUN,0.005
department,NOUN,0.005
title,NOUN,0.005
description,NOUN,0.005
non,ADJ,0.006
insurance,NOUN,0.006
another,PRON,0.006
why,SCONJ,0.006
shall,AUX,0.006
property,NOUN,0.006
class,NOUN,0.006
still,ADV,0.006
money,NOUN,0.006
quality,NOUN,0.006
every,PRON,0.006
listing,VERB,0.006
content,NOUN,0.006
country,NOUN,0.006
private,ADJ,0.006
little,ADJ,0.006
visit,VERB,0.006
save,VERB,0.006
tools,NOUN,0.006
low,ADJ,0.006
reply,NOUN,0.006
customer,NOUN,0.006
compare,VERB,0.006
movies,NOUN,0.006
include,VERB,0.006
college,NOUN,0.006
value,NOUN,0.006
article,NOUN,0.006
man,NOUN,0.006
card,NOUN,0.006
jobs,NOUN,0.006
provide,VERB,0.006
food,NOUN,0.006
source,NOUN,0.006
author,NOUN,0.006
different,ADJ,0.006
press,NOUN,0.006
u,NOUN,0.006
learn,VERB,0.006
sale,NOUN,0.006
around,ADV,0.006
print,NOUN,0.006
course,NOUN,0.006
job,NOUN,0.006
process,NOUN,0.006
teen,NOUN,0.006
room,NOUN,0.006
stock,NOUN,0.006
training,NOUN,0.006
too,ADV,0.006
credit,NOUN,0.006
point,VERB,0.006
join,VERB,0.006
science,NOUN,0.006
men,NOUN,0.006
categories,NOUN,0.006
advanced,ADJ,0.006
west,NOUN,0.006
sales,NOUN,0.006
look,VERB,0.006
left,VERB,0.006
team,NOUN,0.006
estate,NOUN,0.006
box,NOUN,0.007
conditions,NOUN,0.007
select,VERB,0.007
windows,NOUN,0.007
photos,NOUN,0.007
thread,NOUN,0.007
week,NOUN,0.007
category,NOUN,0.007
note,VERB,0.007
live,VERB,0.007
large,ADJ,0.007
gallery,NOUN,0.007
table,NOUN,0.007
register,VERB,0.007
however,ADV,0.007
market,NOUN,0.007
library,NOUN,0.007
really,ADV,0.007
action,NOUN,0.007
start,VERB,0.007
model,NOUN,0.007
features,VERB,0.007
air,NOUN,0.007
industry,NOUN,0.007
plan,NOUN,0.007
human,ADJ,0.007
provided,VERB,0.007
tv,NOUN,0.007
yes,INTJ,0.007
required,VERB,0.007
second,ADJ,0.007
hot,ADJ,0.007
accessories,NOUN,0.007
cost,NOUN,0.007
movie,NOUN,0.007
forums,NOUN,0.007
march,NOUN,0.007
better,ADJ,0.007
say,VERB,0.007
questions,NOUN,0.007
going,VERB,0.007
medical,ADJ,0.007
test,VERB,0.007
friend,NOUN,0.007
come,VERB,0.007
pc,NOUN,0.007
study,VERB,0.007
application,NOUN,0.007
cart,NOUN,0.007
staff,NOUN,0.007
articles,NOUN,0.007
feedback,NOUN,0.007
again,ADV,0.007
play,VERB,0.007
looking,VERB,0.007
issues,NOUN,0.007
never,ADV,0.007
users,NOUN,0.007
complete,VERB,0.007
street,NOUN,0.007
topic,NOUN,0.007
comment,VERB,0.007
financial,ADJ,0.007
things,NOUN,0.007
working,VERB,0.008
against,ADP,0.008
standard,ADJ,0.008
tax,NOUN,0.008
person,NOUN,0.008
below,ADP,0.008
mobile,NOUN,0.008
less,ADJ,0.008
got,VERB,0.008
blog,NOUN,0.008
party,NOUN,0.008
payment,NOUN,0.008
equipment,NOUN,0.008
login,VERB,0.008
student,NOUN,0.008
let,VERB,0.008
programs,NOUN,0.008
offers,VERB,0.008
legal,ADJ,0.008
above,ADV,0.008
recent,ADJ,0.008
park,NOUN,0.008
stores,NOUN,0.008
side,NOUN,0.008
act,NOUN,0.008
problem,NOUN,0.008
red,ADJ,0.008
give,VERB,0.008
memory,NOUN,0.008
performance,NOUN,0.008
social,ADJ,0.008
q,NOUN,0.008
quote,INTJ,0.008
language,NOUN,0.008
story,NOUN,0.008
sell,VERB,0.008
options,NOUN,0.008
experience,NOUN,0.008
rates,NOUN,0.008
create,VERB,0.008
key,ADJ,0.008
body,NOUN,0.008
young,ADJ,0.008
important,ADJ,0.008
field,NOUN,0.008
few,ADJ,0.008
paper,NOUN,0.008
single,ADJ,0.008
age,NOUN,0.008
activities,NOUN,0.008
club,NOUN,0.008
example,NOUN,0.008
girls,NOUN,0.008
additional,ADJ,0.008
latest,ADJ,0.008
something,PRON,0.008
road,NOUN,0.008
gift,NOUN,0.008
question,NOUN,0.008
changes,NOUN,0.008
night,NOUN,0.008
ca,AUX,0.008
hard,ADV,0.008
pay,VERB,0.009
poker,NOUN,0.009
status,NOUN,0.009
browse,VERB,0.009
issue,VERB,0.009
range,NOUN,0.009
building,VERB,0.009
seller,NOUN,0.009
court,NOUN,0.009
always,ADV,0.009
result,VERB,0.009
audio,NOUN,0.009
light,ADJ,0.009
write,VERB,0.009
war,NOUN,0.009
offer,VERB,0.009
blue,ADJ,0.009
groups,NOUN,0.009
easy,ADJ,0.009
given,VERB,0.009
files,NOUN,0.009
event,NOUN,0.009
release,VERB,0.009
analysis,NOUN,0.009
request,VERB,0.009
making,VERB,0.009
picture,NOUN,0.009
needs,VERB,0.009
possible,ADJ,0.009
might,AUX,0.009
professional,ADJ,0.009
yet,ADV,0.009
month,NOUN,0.009
major,ADJ,0.009
star,NOUN,0.009
areas,NOUN,0.009
future,NOUN,0.009
space,NOUN,0.009
committee,NOUN,0.009
hand,NOUN,0.009
sun,NOUN,0.009
cards,NOUN,0.009
problems,NOUN,0.009
meeting,VERB,0.009
rss,NOUN,0.009
become,VERB,0.009
interest,NOUN,0.009
child,NOUN,0.009
keep,VERB,0.009
enter,VERB,0.009
porn,NOUN,0.009
share,VERB,0.009
similar,ADJ,0.009
garden,NOUN,0.009
schools,NOUN,0.009
added,VERB,0.009
reference,NOUN,0.009
companies,NOUN,0.009
listed,VERB,0.009
baby,NOUN,0.009
learning,VERB,0.009
energy,NOUN,0.009
run,VERB,0.009
delivery,NOUN,0.009
net,NOUN,0.01
popular,ADJ,0.01
term,NOUN,0.01
film,VERB,0.01
stories,NOUN,0.01
put,VERB,0.01
computers,NOUN,0.01
journal,NOUN,0.01
reports,VERB,0.01
co,VERB,0.01
try,VERB,0.01
welcome,INTJ,0.01
central,ADJ,0.01
images,NOUN,0.01
notice,VERB,0.01
original,ADJ,0.01
head,NOUN,0.01
radio,NOUN,0.01
until,ADP,0.01
cell,NOUN,0.01
color,NOUN,0.01
self,NOUN,0.01
council,NOUN,0.01
away,ADV,0.01
includes,VERB,0.01
track,VERB,0.01
discussion,NOUN,0.01
archive,NOUN,0.01
once,ADV,0.01
others,NOUN,0.01
entertainment,NOUN,0.01
agreement,NOUN,0.01
format,NOUN,0.01
least,ADJ,0.01
society,NOUN,0.01
months,NOUN,0.01
log,NOUN,0.01
safety,NOUN,0.01
friends,NOUN,0.01
sure,ADJ,0.01
faq,NOUN,0.01
trade,NOUN,0.01
edition,NOUN,0.01
cars,NOUN,0.01
messages,NOUN,0.01
marketing,NOUN,0.01
tell,VERB,0.01
further,ADV,0.01
updated,VERB,0.01
association,NOUN,0.01
able,ADJ,0.01
having,VERB,0.01
provides,VERB,0.01
fun,NOUN,0.01
already,ADV,0.01
green,ADJ,0.01
studies,NOUN,0.01
close,VERB,0.01
common,ADJ,0.01
drive,VERB,0.01
specific,ADJ,0.01
several,ADJ,0.01
gold,NOUN,0.01
living,VERB,0.011
collection,NOUN,0.011
called,VERB,0.011
short,ADJ,0.011
arts,NOUN,0.011
lot,NOUN,0.011
ask,VERB,0.011
display,VERB,0.011
limited,ADJ,0.011
powered,VERB,0.011
solutions,NOUN,0.011
means,VERB,0.011
director,NOUN,0.011
daily,ADV,0.011
beach,NOUN,0.011
past,NOUN,0.011
natural,ADJ,0.011
whether,SCONJ,0.011
due,ADJ,0.011
et,NOUN,0.011
electronics,NOUN,0.011
upon,SCONJ,0.011
period,NOUN,0.011
planning,NOUN,0.011
database,NOUN,0.011
says,VERB,0.011
official,NOUN,0.011
weather,NOUN,0.011
land,NOUN,0.011
average,ADJ,0.011
done,VERB,0.011
window,NOUN,0.011
region,NOUN,0.011
island,NOUN,0.011
record,NOUN,0.011
direct,ADJ,0.011
conference,NOUN,0.011
environment,NOUN,0.011
records,NOUN,0.011
district,NOUN,0.011
calendar,NOUN,0.011
costs,NOUN,0.011
style,NOUN,0.011
url,NOUN,0.011
front,NOUN,0.011
statement,NOUN,0.011
update,VERB,0.011
parts,NOUN,0.011
ever,ADV,0.011
downloads,NOUN,0.011
early,ADV,0.011
miles,NOUN,0.011
sound,VERB,0.011
resource,NOUN,0.011
present,VERB,0.011
applications,NOUN,0.011
either,ADV,0.011
ago,ADV,0.011
document,NOUN,0.011
word,NOUN,0.011
works,VERB,0.011
material,NOUN,0.011
bill,NOUN,0.011
apr,VERB,0.011
written,VERB,0.012
talk,VERB,0.012
hosting,VERB,0.012
rules,NOUN,0.012
final,ADJ,0.012
adult,NOUN,0.012
tickets,NOUN,0.012
thing,NOUN,0.012
centre,NOUN,0.012
requirements,NOUN,0.012
via,ADP,0.012
cheap,ADJ,0.012
nude,ADJ,0.012
kids,NOUN,0.012
finance,NOUN,0.012
true,ADJ,0.012
minutes,NOUN,0.012
else,ADV,0.012
mark,NOUN,0.012
third,ADJ,0.012
rock,NOUN,0.012
gifts,NOUN,0.012
reading,VERB,0.012
topics,NOUN,0.012
bad,ADJ,0.012
individual,ADJ,0.012
tips,NOUN,0.012
plus,CCONJ,0.012
auto,NOUN,0.012
cover,VERB,0.012
usually,ADV,0.012
edit,VERB,0.012
together,ADV,0.012
videos,NOUN,0.012
percent,NOUN,0.012
fast,ADV,0.012
function,NOUN,0.012
fact,NOUN,0.012
unit,NOUN,0.012
getting,VERB,0.012
global,ADJ,0.012
tech,NOUN,0.012
meet,VERB,0.012
far,ADV,0.012
economic,ADJ,0.012
en,ADP,0.012
player,NOUN,0.012
projects,NOUN,0.012
lyrics,NOUN,0.012
often,ADV,0.012
subscribe,VERB,0.012
submit,VERB,0.012
amount,NOUN,0.012
watch,VERB,0.012
included,VERB,0.012
feel,VERB,0.012
though,ADV,0.012
bank,NOUN,0.012
risk,NOUN,0.012
thanks,NOUN,0.012
everything,PRON,0.012
deals,NOUN,0.012
various,ADJ,0.012
words,NOUN,0.013
production,NOUN,0.013
commercial,ADJ,0.013
weight,NOUN,0.013
town,NOUN,0.013
heart,NOUN,0.013
advertising,NOUN,0.013
received,VERB,0.013
choose,VERB,0.013
treatment,NOUN,0.013
newsletter,NOUN,0.013
archives,NOUN,0.013
points,NOUN,0.013
knowledge,NOUN,0.013
magazine,NOUN,0.013
error,NOUN,0.013
camera,NOUN,0.013
girl,NOUN,0.013
currently,ADV,0.013
construction,NOUN,0.013
toys,NOUN,0.013
registered,VERB,0.013
clear,ADJ,0.013
golf,NOUN,0.013
receive,VERB,0.013
domain,NOUN,0.013
methods,NOUN,0.013
chapter,NOUN,0.013
makes,VERB,0.013
protection,NOUN,0.013
policies,NOUN,0.013
loan,NOUN,0.013
wide,ADV,0.013
beauty,NOUN,0.013
manager,NOUN,0.013
position,NOUN,0.013
taken,VERB,0.013
sort,NOUN,0.013
listings,NOUN,0.013
models,NOUN,0.013
known,VERB,0.013
half,NOUN,0.013
cases,NOUN,0.013
step,NOUN,0.013
engineering,NOUN,0.013
simple,ADJ,0.013
quick,ADJ,0.013
none,NOUN,0.013
wireless,NOUN,0.013
license,NOUN,0.013
lake,NOUN,0.013
whole,ADJ,0.013
annual,ADJ,0.013
published,VERB,0.013
later,ADV,0.013
basic,ADJ,0.013
shows,VERB,0.013
corporate,ADJ,0.013
church,NOUN,0.013
method,VERB,0.013
purchase,VERB,0.013
customers,NOUN,0.013
active,ADJ,0.013
response,NOUN,0.013
practice,VERB,0.014
hardware,NOUN,0.014
figure,NOUN,0.014
materials,NOUN,0.014
fire,NOUN,0.014
holiday,NOUN,0.014
chat,NOUN,0.014
enough,ADV,0.014
designed,VERB,0.014
along,ADP,0.014
among,ADP,0.014
death,NOUN,0.014
writing,VERB,0.014
speed,NOUN,0.014
html,NOUN,0.014
countries,NOUN,0.014
loss,NOUN,0.014
face,VERB,0.014
brand,NOUN,0.014
discount,VERB,0.014
higher,ADJ,0.014
effects,NOUN,0.014
created,VERB,0.014
remember,VERB,0.014
standards,NOUN,0.014
oil,NOUN,0.014
bit,NOUN,0.014
yellow,ADJ,0.014
political,ADJ,0.014
increase,VERB,0.014
advertise,VERB,0.014
kingdom,NOUN,0.014
base,NOUN,0.014
near,ADP,0.014
environmental,ADJ,0.014
thought,VERB,0.014
stuff,NOUN,0.014
storage,NOUN,0.014
oh,INTJ,0.014
doing,VERB,0.014
loans,NOUN,0.014
shoes,NOUN,0.014
entry,NOUN,0.014
stay,VERB,0.014
nature,NOUN,0.014
orders,NOUN,0.014
availability,NOUN,0.014
summary,NOUN,0.014
turn,VERB,0.014
mean,VERB,0.014
growth,NOUN,0.014
notes,VERB,0.014
agency,NOUN,0.014
king,NOUN,0.014
european,ADJ,0.014
activity,NOUN,0.014
copy,VERB,0.014
although,SCONJ,0.014
drug,NOUN,0.014
pics,NOUN,0.014
western,ADJ,0.014
income,NOUN,0.014
force,NOUN,0.014
cash,NOUN,0.015
employment,NOUN,0.015
overall,ADJ,0.015
bay,NOUN,0.015
river,NOUN,0.015
ad,NOUN,0.015
package,NOUN,0.015
contents,NOUN,0.015
seen,VERB,0.015
players,NOUN,0.015
engine,NOUN,0.015
port,NOUN,0.015
album,NOUN,0.015
regional,ADJ,0.015
stop,VERB,0.015
supplies,NOUN,0.015
started,VERB,0.015
administration,NOUN,0.015
bar,NOUN,0.015
views,NOUN,0.015
plans,NOUN,0.015
double,ADJ,0.015
dog,NOUN,0.015
build,VERB,0.015
screen,NOUN,0.015
exchange,NOUN,0.015
types,NOUN,0.015
soon,ADV,0.015
sponsored,VERB,0.015
lines,NOUN,0.015
electronic,ADJ,0.015
continue,VERB,0.015
across,ADP,0.015
benefits,NOUN,0.015
needed,VERB,0.015
season,NOUN,0.015
apply,VERB,0.015
someone,PRON,0.015
held,VERB,0.015
anything,PRON,0.015
printer,NOUN,0.015
condition,NOUN,0.015
effective,ADJ,0.015
believe,VERB,0.015
organization,NOUN,0.015
effect,NOUN,0.015
asked,VERB,0.015
mind,NOUN,0.015
selection,NOUN,0.015
casino,NOUN,0.015
pdf,NOUN,0.015
lost,VERB,0.015
tour,VERB,0.015
menu,VERB,0.015
volume,NOUN,0.015
anyone,PRON,0.015
mortgage,NOUN,0.015
hope,VERB,0.015
silver,NOUN,0.015
corporation,NOUN,0.015
wish,VERB,0.015
inside,ADV,0.015
solution,NOUN,0.015
mature,ADJ,0.015
role,NOUN,0.016
rather,ADV,0.016
weeks,NOUN,0.016
addition,NOUN,0.016
came,VERB,0.016
supply,NOUN,0.016
nothing,PRON,0.016
certain,ADJ,0.016
usr,NOUN,0.016
executive,NOUN,0.016
running,VERB,0.016
lower,ADJ,0.016
necessary,ADJ,0.016
union,NOUN,0.016
jewelry,NOUN,0.016
according,VERB,0.016
clothing,NOUN,0.016
mon,NOUN,0.016
com,NOUN,0.016
particular,ADJ,0.016
fine,ADJ,0.016
names,NOUN,0.016
homepage,NOUN,0.016
hour,NOUN,0.016
gas,NOUN,0.016
skills,NOUN,0.016
islands,NOUN,0.016
advice,NOUN,0.016
career,NOUN,0.016
military,ADJ,0.016
rental,NOUN,0.016
decision,NOUN,0.016
leave,VERB,0.016
teens,NOUN,0.016
pre,VERB,0.016
huge,ADJ,0.016
sat,VERB,0.016
woman,NOUN,0.016
facilities,NOUN,0.016
zip,NOUN,0.016
bid,VERB,0.016
kind,NOUN,0.016
sellers,NOUN,0.016
middle,ADJ,0.016
move,VERB,0.016
cable,NOUN,0.016
opportunities,NOUN,0.016
taking,VERB,0.016
values,NOUN,0.016
division,NOUN,0.016
coming,VERB,0.016
object,VERB,0.016
lesbian,NOUN,0.016
appropriate,VERB,0.016
machine,NOUN,0.016
logo,NOUN,0.016
length,NOUN,0.016
actually,ADV,0.016
nice,ADJ,0.016
score,VERB,0.016
statistics,NOUN,0.016
client,NOUN,0.016
ok,INTJ,0.016
returns,NOUN,0.017
capital,NOUN,0.017
follow,VERB,0.017
sample,NOUN,0.017
investment,NOUN,0.017
sent,VERB,0.017
shown,VERB,0.017
culture,NOUN,0.017
band,NOUN,0.017
flash,VERB,0.017
lead,VERB,0.017
choice,NOUN,0.017
went,VERB,0.017
starting,VERB,0.017
registration,NOUN,0.017
fri,NOUN,0.017
courses,NOUN,0.017
consumer,NOUN,0.017
hi,INTJ,0.017
airport,NOUN,0.017
foreign,ADJ,0.017
artist,NOUN,0.017
outside,NOUN,0.017
furniture,NOUN,0.017
levels,NOUN,0.017
letter,NOUN,0.017
mode,NOUN,0.017
phones,NOUN,0.017
ideas,NOUN,0.017
structure,NOUN,0.017
fund,NOUN,0.017
summer,NOUN,0.017
allow,VERB,0.017
degree,NOUN,0.017
contract,NOUN,0.017
button,NOUN,0.017
releases,VERB,0.017
homes,NOUN,0.017
male,NOUN,0.017
matter,VERB,0.017
custom,NOUN,0.017
almost,ADV,0.017
took,VERB,0.017
located,VERB,0.017
multiple,ADJ,0.017
asian,ADJ,0.017
distribution,NOUN,0.017
editor,NOUN,0.017
inn,NOUN,0.017
industrial,ADJ,0.017
cause,VERB,0.017
potential,ADJ,0.017
song,NOUN,0.017
focus,VERB,0.017
late,ADV,0.017
fall,VERB,0.017
featured,VERB,0.017
idea,NOUN,0.017
rooms,NOUN,0.017
female,NOUN,0.017
responsible,ADJ,0.017
communications,NOUN,0.017
win,VERB,0.017
associated,VERB,0.017
primary,ADJ,0.018
cancer,NOUN,0.018
numbers,NOUN,0.018
reason,NOUN,0.018
tool,NOUN,0.018
browser,NOUN,0.018
spring,NOUN,0.018
foundation,NOUN,0.018
answer,VERB,0.018
voice,NOUN,0.018
eg,VERB,0.018
friendly,ADJ,0.018
schedule,NOUN,0.018
documents,NOUN,0.018
communication,NOUN,0.018
purpose,NOUN,0.018
feature,VERB,0.018
bed,NOUN,0.018
comes,VERB,0.018
police,NOUN,0.018
everyone,PRON,0.018
independent,ADJ,0.018
ip,NOUN,0.018
approach,VERB,0.018
cameras,NOUN,0.018
brown,ADJ,0.018
physical,ADJ,0.018
operating,VERB,0.018
hill,NOUN,0.018
maps,NOUN,0.018
medicine,NOUN,0.018
deal,VERB,0.018
hold,VERB,0.018
ratings,NOUN,0.018
forms,NOUN,0.018
glass,NOUN,0.018
happy,ADJ,0.018
tue,VERB,0.018
wanted,VERB,0.018
developed,VERB,0.018
thank,VERB,0.018
safe,ADJ,0.018
unique,ADJ,0.018
survey,VERB,0.018
prior,ADV,0.018
telephone,NOUN,0.018
sport,NOUN,0.018
ready,ADJ,0.018
feed,VERB,0.018
animal,NOUN,0.018
sources,NOUN,0.018
population,NOUN,0.018
regular,ADJ,0.018
secure,VERB,0.018
navigation,NOUN,0.018
operations,NOUN,0.018
therefore,ADV,0.018
ass,NOUN,0.018
simply,ADV,0.018
evidence,NOUN,0.018
station,NOUN,0.018
christian,ADJ,0.018
round,VERB,0.018
favorite,ADJ,0.019
understand,VERB,0.019
option,NOUN,0.019
master,NOUN,0.019
valley,NOUN,0.019
recently,ADV,0.019
probably,ADV,0.019
thu,NOUN,0.019
rentals,NOUN,0.019
sea,NOUN,0.019
built,VERB,0.019
publications,NOUN,0.019
blood,NOUN,0.019
cut,VERB,0.019
worldwide,ADV,0.019
improve,VERB,0.019
connection,NOUN,0.019
publisher,NOUN,0.019
hall,NOUN,0.019
larger,ADJ,0.019
networks,NOUN,0.019
earth,NOUN,0.019
parents,NOUN,0.019
impact,NOUN,0.019
transfer,VERB,0.019
introduction,NOUN,0.019
kitchen,NOUN,0.019
strong,ADJ,0.019
tel,VERB,0.019
wedding,NOUN,0.019
properties,NOUN,0.019
hospital,NOUN,0.019
ground,VERB,0.019
overview,NOUN,0.019
ship,NOUN,0.019
accommodation,NOUN,0.019
owners,NOUN,0.019
disease,NOUN,0.019
excellent,ADJ,0.019
paid,VERB,0.019
perfect,VERB,0.019
hair,NOUN,0.019
opportunity,NOUN,0.019
kit,NOUN,0.019
classic,NOUN,0.019
basis,NOUN,0.019
command,NOUN,0.019
cities,NOUN,0.019
express,VERB,0.019
anal,ADJ,0.019
distance,NOUN,0.019
tree,NOUN,0.019
assessment,NOUN,0.019
ensure,VERB,0.019
thus,ADV,0.019
wall,NOUN,0.019
ie,ADV,0.019
involved,VERB,0.019
extra,ADJ,0.019
especially,ADV,0.019
interface,NOUN,0.019
pussy,NOUN,0.019
